{'text': 'stephen listen jesse', 'start': 0.08, 'duration': 7.279}
{'text': "i hear from sam that you won't debate", 'start': 3.199, 'duration': 4.961}
{'text': 'him', 'start': 7.359, 'duration': 3.761}
{'text': 'that you have cold feet and that you are', 'start': 8.16, 'duration': 4.559}
{'text': 'a beta male', 'start': 11.12, 'duration': 5.68}
{'text': "baby if it's true but in the mail", 'start': 12.719, 'duration': 6.961}
{'text': 'and by the way sam said he is an alpha', 'start': 16.8, 'duration': 3.52}
{'text': 'male', 'start': 19.68, 'duration': 3.679}
{'text': 'alpha male not a beta male and that you', 'start': 20.32, 'duration': 6.879}
{'text': 'are afraid to debate him stephen', 'start': 23.359, 'duration': 3.84}
{'text': 'and that your father should stop', 'start': 27.68, 'duration': 3.759}
{'text': 'allowing you to be', 'start': 30.0, 'duration': 5.6}
{'text': "beta debate sam stephen don't be afraid", 'start': 31.439, 'duration': 7.28}
{'text': "don't be a beta male let me know how it", 'start': 35.6, 'duration': 5.36}
{'text': 'goes', 'start': 38.719, 'duration': 2.241}
{'text': 'people are saying the crowder version', 'start': 41.28, 'duration': 3.2}
{'text': 'has more context so', 'start': 42.559, 'duration': 5.361}
{'text': 'good luck a little bit of a surprise the', 'start': 44.48, 'duration': 5.759}
{'text': 'debate with ethan klein yeah cause this', 'start': 47.92, 'duration': 4.4}
{'text': "mic hasn't been adjusted guys", 'start': 50.239, 'duration': 5.281}
{'text': "check one two three i bet this guy's", 'start': 52.32, 'duration': 5.04}
{'text': 'gonna do anything he can to avoid', 'start': 55.52, 'duration': 5.199}
{'text': "actually debating i don't know", 'start': 57.36, 'duration': 4.4}
{'text': 'i think he wants to do anything that he', 'start': 60.719, 'duration': 3.681}
{'text': 'possibly can do but', 'start': 61.76, 'duration': 3.6}
{'text': "i don't think this guy wants to do this", 'start': 64.4, 'duration': 3.12}
{'text': "i wouldn't be surprised of you", 'start': 65.36, 'duration': 3.2}
{'text': "he's probably going to bring someone", 'start': 67.52, 'duration': 3.12}
{'text': 'else on was his producer', 'start': 68.56, 'duration': 4.64}
{'text': 'like a fan of that uh cedar character', 'start': 70.64, 'duration': 3.76}
{'text': "yeah that'd be my bet but", 'start': 73.2, 'duration': 2.88}
{'text': "hey hopefully he man's up okay you can", 'start': 74.4, 'duration': 3.12}
{'text': 'do your sound check uh alrighty here we', 'start': 76.08, 'duration': 2.24}
{'text': 'go', 'start': 77.52, 'duration': 3.36}
{'text': "i'm gonna sit right here for you guys", 'start': 78.32, 'duration': 4.88}
{'text': 'hello', 'start': 80.88, 'duration': 5.36}
{'text': "hey how's it going you hear a swell or", 'start': 83.2, 'duration': 5.84}
{'text': 'oh yeah i can hear you just fine perfect', 'start': 86.24, 'duration': 3.919}
{'text': 'you and you', 'start': 89.04, 'duration': 5.039}
{'text': 'yeah you guys sound good okay great', 'start': 90.159, 'duration': 6.481}
{'text': 'who am i speaking with uh this is', 'start': 94.079, 'duration': 4.4}
{'text': 'producer tim', 'start': 96.64, 'duration': 5.28}
{'text': 'tim yes hi tim nice to meet you', 'start': 98.479, 'duration': 6.081}
{'text': 'nice to meet you', 'start': 101.92, 'duration': 2.64}
{'text': 'are you one of the guys that dresses up', 'start': 105.2, 'duration': 3.279}
{'text': 'in the crowd or are you not on', 'start': 106.96, 'duration': 4.72}
{'text': 'on uh on screen', 'start': 108.479, 'duration': 6.401}
{'text': "i'm running the audio board okay are you", 'start': 111.68, 'duration': 5.439}
{'text': "okay so you're not the peter pan guy or", 'start': 114.88, 'duration': 4.08}
{'text': 'anything like that', 'start': 117.119, 'duration': 5.761}
{'text': 'peter pan no no hold on one second', 'start': 118.96, 'duration': 6.4}
{'text': "we'll get stephen here momentarily okay", 'start': 122.88, 'duration': 4.0}
{'text': 'thank you', 'start': 125.36, 'duration': 4.8}
{'text': 'oh dave wait so did crowder or', 'start': 126.88, 'duration': 5.68}
{'text': "i'm sorry did crowder think that ethan", 'start': 130.16, 'duration': 4.88}
{'text': 'from h3h was gonna debate him on what is', 'start': 132.56, 'duration': 2.72}
{'text': 'he', 'start': 135.04, 'duration': 3.279}
{'text': 'does he even even do [\xa0__\xa0] like that', 'start': 135.28, 'duration': 4.72}
{'text': 'did i miss that arc i know that he does', 'start': 138.319, 'duration': 3.681}
{'text': 'like kind of political stuff sometimes', 'start': 140.0, 'duration': 5.28}
{'text': 'but does he do like debates no', 'start': 142.0, 'duration': 6.319}
{'text': 'okay hi stephen hey ethan how you doing', 'start': 145.28, 'duration': 4.08}
{'text': 'brother', 'start': 148.319, 'duration': 2.721}
{'text': 'hey i just want to say on a serious note', 'start': 149.36, 'duration': 3.68}
{'text': "that i'm glad you're um", 'start': 151.04, 'duration': 3.6}
{'text': 'your wife is okay i heard you had a', 'start': 153.04, 'duration': 3.04}
{'text': 'little bit of a yeah', 'start': 154.64, 'duration': 3.599}
{'text': "thank you well she's uh she's pregnant", 'start': 156.08, 'duration': 3.36}
{'text': 'with twins so', 'start': 158.239, 'duration': 2.72}
{'text': "yeah it's like uh well by the way", 'start': 159.44, 'duration': 3.04}
{'text': 'congratulations too i know you guys are', 'start': 160.959, 'duration': 2.0}
{'text': 'thank you', 'start': 162.48, 'duration': 2.32}
{'text': "in the same process it's a whole thing", 'start': 162.959, 'duration': 3.681}
{'text': "they they they've switched and they're", 'start': 164.8, 'duration': 2.079}
{'text': 'going', 'start': 166.64, 'duration': 2.0}
{'text': 'a little bit oh sorry am i too bad for', 'start': 166.879, 'duration': 4.321}
{'text': 'you uh i just told dan our producer to', 'start': 168.64, 'duration': 3.679}
{'text': "turn the volume down a little bit you're", 'start': 171.2, 'duration': 2.56}
{'text': "good i'm gonna take out my gum yeah yeah", 'start': 172.319, 'duration': 2.801}
{'text': 'they switch and they breach', 'start': 173.76, 'duration': 4.32}
{'text': 'and so apparently sam was going to', 'start': 175.12, 'duration': 3.68}
{'text': 'debate', 'start': 178.08, 'duration': 3.519}
{'text': 'steven a while ago and stephen like or', 'start': 178.8, 'duration': 4.32}
{'text': 'no they were never going to debate', 'start': 181.599, 'duration': 3.681}
{'text': "but cedar's always challenged crowded to", 'start': 183.12, 'duration': 3.759}
{'text': 'a debate and crowder probably avoids', 'start': 185.28, 'duration': 1.92}
{'text': 'them', 'start': 186.879, 'duration': 1.36}
{'text': 'they were going to debate a long time', 'start': 187.2, 'duration': 2.48}
{'text': 'ago at politicon and then stephen', 'start': 188.239, 'duration': 3.28}
{'text': 'crowder backed out', 'start': 189.68, 'duration': 5.12}
{'text': 'and so supposedly um stephen crowder was', 'start': 191.519, 'duration': 5.281}
{'text': 'going to debate ethan klein on their', 'start': 194.8, 'duration': 2.799}
{'text': 'show', 'start': 196.8, 'duration': 4.0}
{'text': 'and the um and', 'start': 197.599, 'duration': 6.401}
{'text': "uh because sam cedar wasn't streaming", 'start': 200.8, 'duration': 4.48}
{'text': 'that day i guess', 'start': 204.0, 'duration': 3.28}
{'text': 'stephen crowder said that his wife was', 'start': 205.28, 'duration': 3.84}
{'text': "sick and he didn't want to come on", 'start': 207.28, 'duration': 3.2}
{'text': 'because he was worried that cedar would', 'start': 209.12, 'duration': 3.6}
{'text': 'show up on this show', 'start': 210.48, 'duration': 4.0}
{'text': 'and so apparently right now what they', 'start': 212.72, 'duration': 3.439}
{'text': 'were checking was to make sure that', 'start': 214.48, 'duration': 3.6}
{'text': 'sam cedar was live so that sam cedar', 'start': 216.159, 'duration': 3.36}
{'text': "couldn't show up because he's doing his", 'start': 218.08, 'duration': 1.92}
{'text': 'show', 'start': 219.519, 'duration': 3.44}
{'text': 'so sam cedar and co like pre-recorded an', 'start': 220.0, 'duration': 3.76}
{'text': 'episode', 'start': 222.959, 'duration': 2.401}
{'text': 'and then they aired it to pretend it was', 'start': 223.76, 'duration': 3.52}
{'text': 'live so stephen crowder just went to', 'start': 225.36, 'duration': 3.36}
{'text': 'check and make sure that', 'start': 227.28, 'duration': 3.44}
