{'text': 'the one-on-one', 'start': 2.0, 'duration': 4.85}
{'text': 'debate of the year', 'start': 3.199, 'duration': 4.881}
{'text': '[Music]', 'start': 6.85, 'duration': 4.27}
{'text': 'number one was destiny versus eric', 'start': 8.08, 'duration': 8.08}
{'text': 'striker wow that was quite the meme', 'start': 11.12, 'duration': 7.04}
{'text': 'then we had destiny versus vosh at', 'start': 16.16, 'duration': 3.36}
{'text': 'second place', 'start': 18.16, 'duration': 3.84}
{'text': 'and destiny versus big mad jack allison', 'start': 19.52, 'duration': 3.759}
{'text': 'in third place people must have really', 'start': 22.0, 'duration': 2.8}
{'text': 'liked the eric striker one because this', 'start': 23.279, 'duration': 4.16}
{'text': 'was like the beginning of the year', 'start': 24.8, 'duration': 4.399}
{'text': 'um and then the big mad one was very', 'start': 27.439, 'duration': 3.281}
{'text': 'recent so nice', 'start': 29.199, 'duration': 2.961}
{'text': "watch them yeah i'm just gonna watch", 'start': 30.72, 'duration': 3.04}
{'text': 'every single debate right now give us', 'start': 32.16, 'duration': 3.52}
{'text': 'some info about them', 'start': 33.76, 'duration': 3.84}
{'text': "um i'm not going through all 10 in every", 'start': 35.68, 'duration': 3.199}
{'text': "category because i don't care that much", 'start': 37.6, 'duration': 2.08}
{'text': 'okay', 'start': 38.879, 'duration': 2.561}
{'text': "but i'll do the top three destiny versus", 'start': 39.68, 'duration': 3.84}
{'text': 'big mad was jack allison', 'start': 41.44, 'duration': 4.799}
{'text': 'um that was the guy that was the uh', 'start': 43.52, 'duration': 4.0}
{'text': 'pretty crazy', 'start': 46.239, 'duration': 3.921}
{'text': "guy that hated me i don't even know i", 'start': 47.52, 'duration': 4.0}
{'text': "don't even know how this guy found me", 'start': 50.16, 'duration': 4.96}
{'text': 'but that was the breathing compilation', 'start': 51.52, 'duration': 3.6}
{'text': 'guy', 'start': 56.84, 'duration': 3.64}
{'text': "yeah something that's strange is i said", 'start': 59.12, 'duration': 3.119}
{'text': 'you were big mad on twitter', 'start': 60.48, 'duration': 3.679}
{'text': "and then you said you weren't mad but", 'start': 62.239, 'duration': 3.361}
{'text': 'now right here you kind of look like', 'start': 64.159, 'duration': 2.481}
{'text': "you're big mad", 'start': 65.6, 'duration': 2.96}
{'text': "no i i sound like i'm a little bit angry", 'start': 66.64, 'duration': 3.92}
{'text': "because i'm talking to a shed", 'start': 68.56, 'duration': 3.28}
{'text': "well right now you're breathing heavier", 'start': 70.56, 'duration': 2.48}
{'text': 'than matthew bellamy between your', 'start': 71.84, 'duration': 2.56}
{'text': "statements okay so let's take a deep", 'start': 73.04, 'duration': 3.6}
{'text': 'breath', 'start': 74.4, 'duration': 2.24}
{'text': 'um who is big mad and who continues to', 'start': 78.159, 'duration': 4.161}
{'text': 'be big mad to this day on twitter', 'start': 80.56, 'duration': 3.84}
{'text': "um destiny versus vosh i'm pretty sure", 'start': 82.32, 'duration': 4.159}
{'text': 'that was over the um', 'start': 84.4, 'duration': 5.28}
{'text': 'redacted from kenosha did uh', 'start': 86.479, 'duration': 6.96}
{'text': 'place um we did that he was literally', 'start': 89.68, 'duration': 4.799}
{'text': 'laying on his ass', 'start': 93.439, 'duration': 3.121}
{'text': 'firing shots at people 20 feet away who', 'start': 94.479, 'duration': 4.561}
{'text': "weren't even moving towards him", 'start': 96.56, 'duration': 4.239}
{'text': 'and then um destiny brings eric striker', 'start': 99.04, 'duration': 4.16}
{'text': 'eric striker was the', 'start': 100.799, 'duration': 4.401}
{'text': 'um eric striker was a guy that opened', 'start': 103.2, 'duration': 3.76}
{'text': 'the debate with', 'start': 105.2, 'duration': 3.52}
{'text': 'jazz is not real music because it lacks', 'start': 106.96, 'duration': 3.76}
{'text': 'complexity', 'start': 108.72, 'duration': 6.16}
{'text': 'is jazz a derivative a lower', 'start': 110.72, 'duration': 6.48}
{'text': 'derivative of the waltz what do you mean', 'start': 114.88, 'duration': 4.72}
{'text': 'a lower derivative', 'start': 117.2, 'duration': 6.0}
{'text': "it's a simplification and a judaized", 'start': 119.6, 'duration': 4.08}
{'text': 'version', 'start': 123.2, 'duration': 4.48}
{'text': "of the waltz no there's nothing without", 'start': 123.68, 'duration': 6.719}
{'text': 'the order no no what walt says are', 'start': 127.68, 'duration': 4.639}
{'text': 'incredibly simplistic harmonically', 'start': 130.399, 'duration': 3.361}
{'text': 'speaking compared to the', 'start': 132.319, 'duration': 3.601}
{'text': 'rich textures that you can find in in', 'start': 133.76, 'duration': 3.199}
{'text': 'jazz i mean like', 'start': 135.92, 'duration': 4.0}
{'text': 'what are you talking about come on no', 'start': 136.959, 'duration': 3.36}
{'text': 'wait no', 'start': 139.92, 'duration': 2.16}
{'text': "come on no no hold on i'm going to be", 'start': 140.319, 'duration': 3.761}
{'text': "fair to you i think there's no order", 'start': 142.08, 'duration': 4.0}
{'text': "there's no order to jazz music what do", 'start': 144.08, 'duration': 3.2}
{'text': 'you mean by order define', 'start': 146.08, 'duration': 4.239}
{'text': 'order jazz music', 'start': 147.28, 'duration': 5.599}
