{'text': 'i know', 'start': 9.519, 'duration': 2.801}
{'text': "i'm ready to pack it up now i'm like we", 'start': 10.08, 'duration': 3.84}
{'text': 'win all right', 'start': 12.32, 'duration': 4.879}
{'text': "we'll have fun", 'start': 13.92, 'duration': 6.32}
{'text': "i'm sorry buddy man", 'start': 17.199, 'duration': 5.761}
{'text': "i'm sorry man", 'start': 20.24, 'duration': 2.72}
{'text': 'miss kev had a show he did like a little', 'start': 23.279, 'duration': 3.681}
{'text': 'game show where he has like', 'start': 24.88, 'duration': 3.36}
{'text': "it's like are you smarter than a fifth", 'start': 26.96, 'duration': 3.76}
{'text': 'grader kind of', 'start': 28.24, 'duration': 3.439}
{'text': 'but the funny thing is that if you', 'start': 30.72, 'duration': 2.16}
{'text': "actually go through i'm reading through", 'start': 31.679, 'duration': 2.241}
{'text': 'these comments', 'start': 32.88, 'duration': 3.839}
{'text': 'so casey tron and amaranth are cheating', 'start': 33.92, 'duration': 3.28}
{'text': 'so', 'start': 36.719, 'duration': 4.16}
{'text': 'hard in like just this like little fun', 'start': 37.2, 'duration': 7.039}
{'text': 'this just like little fun game show', 'start': 40.879, 'duration': 7.761}
{'text': "why so here's the uh", 'start': 44.239, 'duration': 7.361}
{'text': "here's one question", 'start': 48.64, 'duration': 2.96}
{'text': "if you go back and watch it she's so", 'start': 52.079, 'duration': 3.521}
{'text': 'funny', 'start': 53.36, 'duration': 6.16}
{'text': '36 is what percent of 80. 36 is what', 'start': 55.6, 'duration': 4.88}
{'text': 'percent of 80.', 'start': 59.52, 'duration': 4.639}
{'text': "okay so they're allowed to write it down", 'start': 60.48, 'duration': 4.719}
{'text': 'to work it out', 'start': 64.159, 'duration': 3.36}
{'text': 'okay', 'start': 65.199, 'duration': 2.32}
{'text': "it's just brook not ant and then here's", 'start': 70.4, 'duration': 4.96}
{'text': 'the work they show at the end', 'start': 73.52, 'duration': 6.48}
{'text': '45 were you able to', 'start': 75.36, 'duration': 6.48}
{'text': 'so amaranth writes down at least she', 'start': 80.0, 'duration': 5.36}
{'text': 'gets the equation right to her credit', 'start': 81.84, 'duration': 6.959}
{'text': 'case just writes down the wrong equation', 'start': 85.36, 'duration': 7.439}
{'text': "i don't know why what", 'start': 88.799, 'duration': 6.32}
{'text': 'also maybe maybe different people learn', 'start': 92.799, 'duration': 3.521}
{'text': 'different math techniques what is like', 'start': 95.119, 'duration': 4.161}
{'text': 'the k36 thing is this like a way is this', 'start': 96.32, 'duration': 5.2}
{'text': 'like some secret way to do division', 'start': 99.28, 'duration': 4.799}
{'text': "that's a pie chart is that like a secret", 'start': 101.52, 'duration': 3.599}
{'text': 'technique', 'start': 104.079, 'duration': 3.441}
{'text': 'wait how is a how is it a pie chart are', 'start': 105.119, 'duration': 4.801}
{'text': 'you guys', 'start': 107.52, 'duration': 2.4}
{'text': 'oh i can see it okay', 'start': 112.88, 'duration': 4.0}
{'text': "but anyway it's so funny watching these", 'start': 117.2, 'duration': 3.84}
{'text': 'two go through', 'start': 119.759, 'duration': 4.481}
{'text': 'and just like cheat on so many questions', 'start': 121.04, 'duration': 4.8}
{'text': "we don't they do a thing later where", 'start': 124.24, 'duration': 2.96}
{'text': 'because the mischief realizes you guys', 'start': 125.84, 'duration': 1.84}
{'text': 'are getting', 'start': 127.2, 'duration': 1.52}
{'text': 'you guys are getting answers from', 'start': 127.68, 'duration': 2.719}
{'text': "discord i'm not going to find it out i", 'start': 128.72, 'duration': 2.159}
{'text': 'think casey', 'start': 130.399, 'duration': 1.84}
{'text': "turns around like three times she's like", 'start': 130.879, 'duration': 4.0}
{'text': 'oh okay and she like pretends', 'start': 132.239, 'duration': 6.08}
{'text': 'what are the four nitrogenous', 'start': 134.879, 'duration': 6.641}
{'text': 'base bases found in dna', 'start': 138.319, 'duration': 4.801}
{'text': "you're both going to say it at the same", 'start': 141.52, 'duration': 3.84}
{'text': 'time', 'start': 143.12, 'duration': 2.24}
{'text': 'i like actually actually you know what', 'start': 146.239, 'duration': 3.041}
{'text': 'no no no', 'start': 148.56, 'duration': 3.52}
{'text': 'no 10 seconds', 'start': 149.28, 'duration': 2.8}
